iter	Logloss
0	0.5606040228
1	0.4684680081
2	0.4054968508
3	0.3621077092
4	0.3321382762
5	0.3069015632
6	0.2885276969
7	0.2728248777
8	0.264202224
9	0.2549581105
10	0.2470873324
11	0.2404465327
12	0.2355721664
13	0.2297922398
14	0.2255882268
15	0.2226397065
16	0.218664526
17	0.2154807942
18	0.2132153946
19	0.2106100818
20	0.2075306701
21	0.2054071424
22	0.2032180268
23	0.2009975362
24	0.1975530884
25	0.19570208
26	0.1926669734
27	0.1903620313
28	0.1878975266
29	0.1863848424
30	0.1849217546
31	0.1841075161
32	0.1815663806
33	0.179968248
34	0.1786798255
35	0.1774013637
36	0.1735704179
37	0.1728874733
38	0.1718126549
39	0.1692776316
40	0.1680805176
41	0.167234191
42	0.1659746971
43	0.1642191476
44	0.1623824399
45	0.1604061177
46	0.1584949832
47	0.1574262989
48	0.1565028032
49	0.1558988823
50	0.1548755927
51	0.1540683708
52	0.1535834983
53	0.1528036338
54	0.1520442847
55	0.1513043817
56	0.149043949
57	0.1483257544
58	0.1482051236
59	0.1470179741
60	0.1462610057
61	0.1438461858
62	0.1433289088
63	0.1408903313
64	0.1401425684
65	0.1394912957
66	0.1387637992
67	0.1381796961
68	0.1364433459
69	0.1354198699
70	0.1341105621
71	0.1336666675
72	0.1329812141
73	0.1313646279
74	0.1304527251
75	0.1296208096
76	0.1283191866
77	0.1274773323
78	0.1269308888
79	0.1265772617
80	0.1261446464
81	0.1257857818
82	0.1251538385
83	0.1246263624
84	0.1223771058
85	0.1216683316
86	0.1210087594
87	0.1202716176
88	0.1166572196
89	0.1161148414
90	0.1147052141
91	0.1136082554
92	0.1129038244
93	0.1120947964
94	0.1108625954
95	0.1102799001
96	0.1090072641
97	0.1086151472
98	0.1079633403
99	0.1077296565
100	0.1072287381
101	0.1065749356
102	0.1063244288
103	0.1057599876
104	0.1053079793
105	0.1045086611
106	0.1036958812
107	0.10238797
108	0.1004475826
109	0.09749515268
110	0.0966552162
111	0.09516108416
112	0.09420919786
113	0.09336437333
114	0.09296821336
115	0.09158321632
116	0.09131407479
117	0.09036659776
118	0.08990501743
119	0.08927278451
120	0.08876457013
121	0.08837271186
122	0.08795335269
123	0.08720853369
124	0.08680691338
125	0.08614534226
126	0.08556890592
127	0.08438637398
128	0.08355467661
129	0.08253063878
130	0.08224792546
131	0.08187920938
132	0.08070673832
133	0.07974668944
134	0.07913497289
135	0.07835224364
136	0.07653360002
137	0.0750165022
138	0.07388978931
139	0.07309887926
140	0.07211021925
141	0.07194786278
142	0.07143271096
143	0.07101576512
144	0.07058610016
145	0.06992018769
146	0.06941787717
147	0.06878386936
148	0.06845433665
149	0.06785483578
150	0.06749270436
151	0.06736624035
152	0.06676272852
153	0.06598038018
154	0.06472344488
155	0.06440141498
156	0.06395735143
157	0.06365785163
158	0.06315885146
159	0.0627370159
160	0.06180575636
161	0.06139425316
162	0.06129305331
163	0.06110475683
164	0.06027187052
165	0.05959482389
166	0.05906474293
167	0.05869986893
168	0.0584338316
169	0.05803398477
170	0.05753897152
171	0.05695302827
172	0.05670604726
173	0.05650898044
174	0.05633746723
175	0.05585438877
176	0.05560950015
177	0.05544163349
178	0.05512092905
179	0.05466484516
180	0.05430321866
181	0.05392196327
182	0.05359705456
183	0.05334755129
184	0.05319423502
185	0.0529756022
186	0.05280086067
187	0.05246077751
188	0.05230533441
189	0.05182729283
190	0.0516704314
191	0.05151070466
192	0.05097238722
193	0.05074459934
194	0.05063868803
195	0.05025396847
196	0.0495192416
197	0.04918979845
198	0.04899136468
199	0.04881750005
200	0.04862746548
201	0.04813388997
202	0.04792860272
203	0.04733976604
204	0.04722534309
205	0.04714877581
206	0.04653256511
207	0.04624764612
208	0.04592322067
209	0.04578793194
210	0.04560346318
211	0.04549420193
212	0.04524634745
213	0.04508698203
214	0.04495457389
215	0.04481205569
216	0.04445479794
217	0.04438507628
218	0.04404216185
219	0.04393700092
220	0.04370832814
221	0.04357811275
222	0.04327599904
223	0.0430948092
224	0.04276774044
225	0.04252304249
226	0.04195165997
227	0.0415801048
228	0.0414165342
229	0.04117216021
230	0.04102389805
231	0.04068926862
232	0.0405132293
233	0.04015855326
234	0.03995676784
235	0.03988176591
236	0.03976960391
237	0.03962797401
238	0.03948078301
239	0.03940972046
240	0.03923614154
241	0.03917278843
242	0.03910699014
243	0.03876870542
244	0.03864864714
245	0.03824380574
246	0.03791991289
247	0.03783229926
248	0.03777267806
249	0.03772183495
250	0.03747920246
251	0.03739967485
252	0.03720872985
253	0.03704121914
254	0.036758332
255	0.03654250752
256	0.03643884028
257	0.03638626374
258	0.03630352163
259	0.03617140876
260	0.03609072461
261	0.0359375291
262	0.03564797364
263	0.03541116828
264	0.03519451224
265	0.03509403672
266	0.03470267228
267	0.03463518473
268	0.03430589851
269	0.03394069645
270	0.03366668859
271	0.03339585439
272	0.03334945969
273	0.03319824464
274	0.03302650732
275	0.03294584893
276	0.03278505398
277	0.03264713777
278	0.03246495949
279	0.03232570204
280	0.03215060159
281	0.03181650793
282	0.03170330848
283	0.03150776308
284	0.03128458923
285	0.03120976776
286	0.03114655787
287	0.03104203406
288	0.03094351463
289	0.03075362868
290	0.03054726582
291	0.03039993466
292	0.03019654012
293	0.0300721923
294	0.03000772801
295	0.02996211977
296	0.02987377818
297	0.02974746117
298	0.02959332864
299	0.02942876375
